"region","total_downloads"
", United States",9725
"Armed Forces Europe, Middle East, & Canada, United States",168
"Alaska, United States",656
"Alabama, United States",2514
"Armed Forces Pacific, United States",122
"Arkansas, United States",1047
"Arizona, United States",5372
"California, United States",85732
"Colorado, United States",8992
"Connecticut, United States",4370
"District of Columbia, United States",3419
"Delaware, United States",1995
"Florida, United States",17807
"Georgia, United States",9395
"Hawaii, United States",1755
"Iowa, United States",1908
"Idaho, United States",1250
"Illinois, United States",15039
"Indiana, United States",2668
"Kansas, United States",1950
"Kentucky, United States",1523
"Louisiana, United States",2449
"Massachusetts, United States",8774
"Maryland, United States",9032
"Maine, United States",501
"Michigan, United States",5629
"Minnesota, United States",4853
"Missouri, United States",3657
"Mississippi, United States",1178
"Montana, United States",754
"North Carolina, United States",12038
"North Dakota, United States",369
"Nebraska, United States",1365
"New Hampshire, United States",1189
"New Jersey, United States",12556
"New Mexico, United States",882
"Nevada, United States",4528
"New York, United States",31268
"Ohio, United States",6949
"Oklahoma, United States",1691
"Oregon, United States",6622
"Pennsylvania, United States",10693
"Rhode Island, United States",1287
"South Carolina, United States",2083
"South Dakota, United States",336
"Tennessee, United States",4704
"Texas, United States",34912
"Utah, United States",3968
"Virginia, United States",19424
"Vermont, United States",611
"Washington, United States",13798
"Wisconsin, United States",4080
"West Virginia, United States",291
"Wyoming, United States",125