,release_date,title,downloads,show,color
283,2015-06-01,Episode #1 - Introduction,3434.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
282,2015-06-07,TBP02 - Holding Up the Sky,2739.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
281,2015-06-15,TBP03 - Bridging the Gender Gap,2562.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
280,2015-06-20,TBP04 - Change Jar 2.0,2673.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
279,2015-06-28,TBP05 - The World's Strongest,2547.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
278,2015-07-02,TBP06 - Aboard the Pequod,2463.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
277,2015-07-06,TBP07 - Under the Iron Veil,2723.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
276,2015-07-09,TBP08 - Bitcoin For The Bottom Billion,850.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
275,2015-07-19,TBP09 - The Curious Case of Remittance,773.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
274,2015-07-24,TBP10 - Bottoms Up,684.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
273,2015-08-03,TBP11 - The End of Money,845.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
272,2015-08-08,TBP12 - Boring Economics,917.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
271,2015-08-15,TBP13 - The Greatest Truths,650.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
270,2015-08-23,TBP14 - Sex and the Single Bitcoin,816.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
269,2015-08-30,TBP15 - Ants Marching,637.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
268,2015-09-06,TBP16 - The Dual Revolution,681.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
267,2015-09-13,TBP17 - Oiling the Squeaky Wheel,713.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
266,2015-09-20,TBP18 - From Cradle to Grave,621.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
265,2015-09-27,TBP19 - Branding the Disruptive,657.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
264,2015-10-01,TBP20 - Bottoms Up 2,674.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
263,2015-10-10,TBP21 - Call For Papers,616.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
262,2015-10-15,TBP22 - Vote With Your Feet,583.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
261,2015-10-25,"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World",620.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
260,2015-11-01,TBP24 - Betting On Bitcoin,963.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
259,2015-11-08,TBP25 - The $199 Incentive,655.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
258,2015-11-15,TBP26 - Change Jar 3.0,732.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
257,2015-11-22,TBP27 - London Calling,797.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
256,2015-11-29,TBP28 - Modern Day Gold Rush,822.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
255,2015-12-06,TBP29 - Take the Power Back,875.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
254,2015-12-13,TBP30 - Bottoms Up 3,718.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
253,2015-12-20,TBP31 - Off the Transparency Chain,726.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
252,2015-12-27,TBP32 - The Marketing Blueprint,983.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
251,2016-01-02,TBP33 - Canadian Bitcoin Scenario,911.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
250,2016-01-09,"TBP34 - 20,000 Lines Under the Code",1032.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
249,2016-01-16,TBP35 - Disruption or Disconnect,1300.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
248,2016-01-23,TBP36 - Bakesales for Bombers,757.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
247,2016-01-30,TBP37 - Bitcoining with The BasedGod,972.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
246,2016-02-01,TBP38 - Assumption of Trust,853.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
245,2016-02-07,TBP39 - Running the Gamut,1078.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
244,2016-02-13,TBP40 - A Conservative Trillion,1494.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
243,2016-02-18,TBP41 - Making Inroads With Merchants,853.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
242,2016-02-21,TBP42 - True Micropayments,1088.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
241,2016-02-27,TBP43 - The Mystery of Capital,967.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
240,2016-03-03,TBP44 - Who Is Bitcoin Girl?,884.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
239,2016-03-06,TBP45 - Bitcoin Evangelism,971.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
238,2016-03-13,TBP46 - The Fundamental Conflict,1170.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
237,2016-03-20,TBP47 - Bottoms Up 4,844.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
236,2016-03-27,"TBP48 - Inertia, My Friend!",905.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
235,2016-03-31,TBP49 - Welterweight Gold,1124.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
234,2016-04-04,TBP50 - Not Giving a Good Got Damn,1042.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
233,2016-04-10,TBP51 - Such Wow,875.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
232,2016-04-14,TBP52 - Potential of the SDK,892.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
231,2016-04-17,TBP53 - Tough Math,1499.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
230,2016-04-21,TBP54 - Revisiting the Divine Child,884.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
229,2016-04-24,TBP55 - The Cryptocurrency 2.0 Project,1393.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
228,2016-05-01,TBP56 - Exploring European Fintech,1076.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
227,2016-05-03,TBP57 - Future of a Shared Economy,2251.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
226,2016-05-08,TBP58 - The Art of the Deal,2097.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
225,2016-05-16,TBP59 - Incredible India,1213.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
224,2016-05-23,TBP60 - Release the Kraken,2605.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
223,2016-05-27,TBP61 - Escaping War Zones,1084.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
222,2016-05-30,TBP62 - Still Holding Up the Sky,1328.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
221,2016-06-06,TBP63 - Change Jar 4.0,1399.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
220,2016-06-09,TBP64 - Shorting the Bull Rally,1500.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
219,2016-06-12,TBP65 - Exosphere Academy,1477.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
218,2016-06-18,TBP66 - Cultures of Innovation,1529.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
217,2016-06-22,TBP67 - Follow the LeadTuur,1725.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
216,2016-06-26,TBP68 - Deconstructing theDAO Attack,2233.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
215,2016-06-30,TBP69 - The Ubitquity Platform,1440.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
214,2016-07-03,TBP70 - Whitehat,1705.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
213,2016-07-10,TBP71 - Bitcoin Wealth Alliance,2208.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
212,2016-07-11,TBP72 - The Broader Economy,3935.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
211,2016-07-17,TBP73 - Navigating the New Marketplace,1744.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
210,2016-07-20,TBP74 - Cryptocurrency Fellowship,1497.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
209,2016-07-23,TBP75 - Attention Economy,1957.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
208,2016-07-31,TBP76 - Skynet,3055.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
207,2016-08-01,TBP77 - Collective Governance,3013.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
206,2016-08-06,TBP78 - The Price of Privatization,1929.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
205,2016-08-13,TBP79 - Infrastructure for a Seven Billion World,2716.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
204,2016-08-13,TBP80 - A Means to an End,1569.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
203,2016-08-21,TBP81 - Redefining Trust,1705.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
202,2016-08-28,TBP82 - Unifying Blockchain Tech,1905.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
201,2016-08-29,TBP83 - Lightning Network Deep Dive,2048.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
200,2016-09-04,TBP84 - Arcade City Glorification,1517.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
199,2016-09-11,TBP85 - Crossing the Chasm,1383.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
198,2016-09-12,TBP86 - Exploring Macroeconomics,1538.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
197,2016-09-18,TBP87 - The World is YOURS,1901.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
196,2016-09-19,TBP88 - Bitcoin Bike-Shed,1484.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
195,2016-09-25,TBP89 - The IoT Frontier,1540.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
194,2016-09-27,TBP90 - Silicon Valley in a Box,2417.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
193,2016-10-02,TBP91 - Exosphere Academy II,1660.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
192,2016-10-09,TBP92 - Myceliated,1895.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
191,2016-10-15,TBP93 - Cryptographic Verification,3848.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
190,2016-10-22,TBP94 - Reputation Tokens,2585.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
189,2016-10-27,TBP95 - The JOBS Act,1718.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
187,2016-10-29,BC1: Empowering Creativity with Technology,1481.0,BlockChannel,"rgb(101,174,223)"
188,2016-10-29,TBP96 - A Fireside Chat,1757.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
186,2016-11-06,TBP97 - Hype or Hope,2828.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
185,2016-11-09,TBP98 - Ubitquity Part Duex,1402.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
184,2016-11-11,"BC2: Making Bitcoin Great, with Javascript & Brave",1442.0,BlockChannel,"rgb(101,174,223)"
183,2016-11-12,TBP99 - Blockchain Supercomputer,2495.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
182,2016-11-19,TBP100 - Thai Gone Wild,3042.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
181,2016-11-27,TBP101 - World's First Supernode Infrastructure,1552.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
180,2016-11-30,TBP102 - Building Bridges Initiative,2353.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
179,2016-12-01,"BC3: Zero Knowledge, the Future of Privacy",2184.0,BlockChannel,"rgb(101,174,223)"
178,2016-12-04,TBP103 - A Jack of All Trades,1813.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
177,2016-12-11,TBP104 - Currency to a Wider Public,2698.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
176,2016-12-18,TBP105 - Music Industry 2.0,2125.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
175,2016-12-22,On-Ramping with Dee: Episode #1,2195.0,On-Ramping with Dee,"rgb(130,170,52)"
174,2016-12-25,TBP106 - A Very Bitcoin Christmas,2218.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
173,2016-12-31,"TBP107 - Like Father, Like Son",1796.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
172,2017-01-02,"BC4: Predicting the Future, with Augur",1628.0,BlockChannel,"rgb(101,174,223)"
171,2017-01-03,On-Ramping with Dee: Episode #2,2067.0,On-Ramping with Dee,"rgb(130,170,52)"
170,2017-01-04,TBP108 - Ether Camp,1686.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
169,2017-01-07,Episode #3: On-Ramping with Dee,1509.0,On-Ramping with Dee,"rgb(130,170,52)"
168,2017-01-08,TBP109 - The Human Influence,2115.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
167,2017-01-11,BC5: Taking One for the Team,1598.0,BlockChannel,"rgb(101,174,223)"
166,2017-01-15,TBP110 - The Technological Revolution,2584.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
165,2017-01-22,TBP111 - Disrupting Global Commerce,2375.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
164,2017-01-25,Episode #4: On-Ramping with Dee,2327.0,On-Ramping with Dee,"rgb(130,170,52)"
163,2017-01-26,"BC6: Gnosis, and the Power of the Crowd",1737.0,BlockChannel,"rgb(101,174,223)"
162,2017-01-28,TBP112 - The Broader Economy II,3801.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
161,2017-02-02,"BC7: Meet Your Maker, Ethereum",1835.0,BlockChannel,"rgb(101,174,223)"
160,2017-02-02,"BC8: Hit or Stay, a Bet on 21.co",2056.0,BlockChannel,"rgb(101,174,223)"
159,2017-02-03,Episode #5: On-Ramping with Dee,2406.0,On-Ramping with Dee,"rgb(130,170,52)"
158,2017-02-05,TBP113 - Innovators' Lab,2324.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
157,2017-02-08,BC9: Getting Gamers on Ethereum with FirstBlood,1837.0,BlockChannel,"rgb(101,174,223)"
156,2017-02-12,TBP114 - Life After Trezor,2901.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
155,2017-02-17,BC10: A Bitcoin Venture Outside the Great Wall,1630.0,BlockChannel,"rgb(101,174,223)"
154,2017-02-18,TBP115 - This Week in Ethereum,2297.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
153,2017-02-20,BC11: Bridging Ethereum and Media with Jaak.io,1520.0,BlockChannel,"rgb(101,174,223)"
152,2017-02-20,Episode #6: On-Ramping with Dee,1948.0,On-Ramping with Dee,"rgb(130,170,52)"
151,2017-02-22,"BC12: In Ethereum, WeTrust",2745.0,BlockChannel,"rgb(101,174,223)"
150,2017-02-26,TBP116 - Building the Iron Man Suit,2656.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
149,2017-03-05,TBP117 - Venturing Into the Web3,2440.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
148,2017-03-07,"BC13: Decentralized Web Browsing, with Blockstack",2175.0,BlockChannel,"rgb(101,174,223)"
147,2017-03-10,Episode #7: On-Ramping with Dee,1763.0,On-Ramping with Dee,"rgb(130,170,52)"
146,2017-03-12,TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto,3288.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
145,2017-03-18,"BC14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir",2272.0,BlockChannel,"rgb(101,174,223)"
144,2017-03-20,TBP119 - Shorting the Bull Rally II,2309.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
143,2017-03-21,"BC15: A Hedge on Ethereum, with Numerai",2954.0,BlockChannel,"rgb(101,174,223)"
142,2017-03-25,TBP120 - The Token Protocol,3850.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
141,2017-04-02,TBP121 - Liberty Life Trails,2699.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
140,2017-04-03,"BC16: Partly Cloudy, with a Chance of Ethereum",3031.0,BlockChannel,"rgb(101,174,223)"
139,2017-04-06,TBP122 - Ubitquity Part III,1995.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
138,2017-04-09,TBP123 - AsicBoost Catch 22,2537.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
137,2017-04-12,"BC17: Putting the Fun in Coin, with CoinFund",2063.0,BlockChannel,"rgb(101,174,223)"
136,2017-04-14,BC18: Where You At? What’s Your Status.im?,2093.0,BlockChannel,"rgb(101,174,223)"
135,2017-04-16,TBP124 - Affording the High Risk,3133.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
134,2017-04-20,"BC19: Virtual Land in the Clouds, with Urbit",2328.0,BlockChannel,"rgb(101,174,223)"
133,2017-04-21,Episode #8: On-Ramping with Dee,1955.0,On-Ramping with Dee,"rgb(130,170,52)"
132,2017-04-22,TBP125 - False Narratives and Short Memories,2849.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
131,2017-04-28,"BC20: Building Across the Globe, with ConsenSys",3723.0,BlockChannel,"rgb(101,174,223)"
130,2017-05-01,TBP126 - Litecoin's SegWit Activation,8057.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
129,2017-05-05,Episode #9: On-Ramping with Dee,2840.0,On-Ramping with Dee,"rgb(130,170,52)"
128,2017-05-07,TBP127 - Marketing Discipline,4284.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
127,2017-05-14,TBP128 - Family,3755.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
126,2017-05-21,TBP129 - The Inherent Risks,3942.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
125,2017-05-22,"BC21: Building Unstoppable Organizations, with Aragon",3734.0,BlockChannel,"rgb(101,174,223)"
124,2017-05-27,Announcements with Dr. Petty: Mona.co,2692.0,TBP Announcements,"rgba(0,0,0,0.65)"
123,2017-05-27,"BC22: Tackling the Real Estate Dinosaur, with REX",2816.0,BlockChannel,"rgb(101,174,223)"
122,2017-05-28,TBP130 - Consensus Recap and Sphre,3264.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
121,2017-05-28,Episode #10: On-Ramping with Dee,2492.0,On-Ramping with Dee,"rgb(130,170,52)"
120,2017-05-29,Announcements with Dr. Petty: Patientory,3496.0,TBP Announcements,"rgba(0,0,0,0.65)"
119,2017-06-03,TBP131 - Ending Corporate Dominance,6219.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
118,2017-06-11,TBP132 - Dark Side of the Prism,5004.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
117,2017-06-13,The Ether Review #67: Celebrating Erik Voorhees Week with Erik Voorhees!,3968.0,The Ether Review,"rgba(236,159,76,1)"
284,2017-06-13,The Ether Review #67 — Celebrating Erik Voorhees Week with Erik Voorhees!,206.0,The Ether Review,"rgba(236,159,76,1)"
116,2017-06-16,TBP133 - ICO Woes with MyEtherWallet,5429.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
115,2017-06-17,TBP134 - More Marketing Discipline,5028.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
114,2017-06-20,"BC23: Unmasking the Future, with Metamask",4829.0,BlockChannel,"rgb(101,174,223)"
113,2017-06-20,NABP #1: Sandra Malalah,3383.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
112,2017-06-21,"BC24: Bringing Crypto to the World, with Prince EA",4012.0,BlockChannel,"rgb(101,174,223)"
111,2017-06-22,Announcements with Dr. Petty: Impak Finance,3763.0,TBP Announcements,"rgba(0,0,0,0.65)"
110,2017-06-24,TBP135 - Yanking Our Blockchain,5987.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
109,2017-06-27,Ether Review Legal Discussion #2 The Legality of Raising Money Using Tokens,4803.0,The Ether Review,"rgba(236,159,76,1)"
108,2017-07-01,NABP #2: Crypto Maak,4252.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
107,2017-07-02,TBP136 - A New Type of Ownership,5236.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
106,2017-07-04,Episode #11: On-Ramping with Dee,3717.0,On-Ramping with Dee,"rgb(130,170,52)"
105,2017-07-06,NABP #3: Adam Meister,4681.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
104,2017-07-09,TBP137 - Countdown to SegWit,7911.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
103,2017-07-11,NABP #4: Benjamin Perrin,5063.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
102,2017-07-12,"The Ether Review #68: Numerai, The Last Hedge Fund",3678.0,The Ether Review,"rgba(236,159,76,1)"
285,2017-07-12,"The Ether Review #68 — Numerai, The Last Hedge Fund",248.0,The Ether Review,"rgba(236,159,76,1)"
101,2017-07-13,NABP #5: Ryan X Charles,4672.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
100,2017-07-16,TBP138 - The 21st Century 49ers,4526.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
99,2017-07-16,TBP139 - Surviving the BIP 148 UASF,6362.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
98,2017-07-16,"BC25: Building Digital Communities, with District0x",3811.0,BlockChannel,"rgb(101,174,223)"
97,2017-07-19,NABP #6: John Crothers,3786.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
96,2017-07-19,Ether Review #69: IOTA & the Post-Blockchain Era,6299.0,The Ether Review,"rgba(236,159,76,1)"
286,2017-07-19,Ether Review #69 — IOTA & the Post-Blockchain Era,703.0,The Ether Review,"rgba(236,159,76,1)"
95,2017-07-23,TBP140 - 5G vs 4G and the Future of Mobile Networks,5459.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
94,2017-07-25,Ether Review Legal #3: The Simple Agreement for Future Tokens,3950.0,The Ether Review,"rgba(236,159,76,1)"
93,2017-07-25,"BC26: Off the Grid, with Grid+",4283.0,BlockChannel,"rgb(101,174,223)"
287,2017-07-25,Ether Review Legal #3 — The Simple Agreement for Future Tokens,321.0,The Ether Review,"rgba(236,159,76,1)"
92,2017-07-27,TBP141 - The CMO Primer For the Blockchain World,4774.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
91,2017-07-29,TBP142 - The Need For More Information,5138.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
90,2017-08-01,NABP #7: Marcello,5305.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
89,2017-08-04,"TBP143 - Damned If You Do, Bored If You Don't",5868.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
288,2017-08-04,"Ether Review Legal #4 — MME, the Beating Heart of Crypto Valley",348.0,The Ether Review,"rgba(236,159,76,1)"
88,2017-08-04,"Ether Review Legal #4: MME, the Beating Heart of Crypto Valley",3935.0,The Ether Review,"rgba(236,159,76,1)"
87,2017-08-06,TBP144 - Tomorrow's Electricity Today,4994.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
86,2017-08-06,Episode #12: On-Ramping with Dee,4543.0,On-Ramping with Dee,"rgb(130,170,52)"
85,2017-08-07,NABP #8: Vortex,4816.0,Not Another Bitcoin Podcast,"rgb(255,255,255)"
84,2017-08-09,TBP145 - Hopes and Fears for Filecoin,7155.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
83,2017-08-13,TBP146 - The Rise and Rise of Charlie Shrem,8547.0,The Bitcoin Podcast,"rgba(236,159,76,1)"
