"item_title","release_date","downloads__august","downloads__july","downloads__june","downloads__total"
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",4,0,0,4
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",991,0,0,991
"TBP81 - Redefining Trust","2016-08-21 00:51:47",1119,0,0,1119
"TBP80 - A Means to an End","2016-08-13 21:30:49",1088,0,0,1088
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",1976,0,0,1976
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",1437,0,0,1437
"TBP77 - Collective Governance","2016-08-01 02:13:02",1517,0,0,1517
"TBP76 - Skynet","2016-07-31 13:56:37",1187,392,0,1579
"TBP75 - Attention Economy","2016-07-23 14:57:17",284,1206,0,1490
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",110,921,0,1031
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",89,1262,0,1351
"TBP72 - The Broader Economy","2016-07-11 13:33:58",291,2729,0,3020
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",70,1388,0,1458
"TBP70 - Whitehat","2016-07-03 16:51:42",47,1257,0,1304
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",50,613,323,986
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",74,338,1437,1849
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",25,180,1165,1370
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",22,99,1043,1164
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",25,77,1038,1140
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",18,78,1074,1170
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",16,47,1005,1068
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",18,43,518,1069
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",15,41,165,805
"TBP60 - Release the Kraken","2016-05-23 03:32:09",27,79,262,1881
"TBP59 - Incredible India","2016-05-16 15:40:00",26,43,90,914
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",30,52,82,1581
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",23,53,94,1905
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",20,79,61,774
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",69,50,51,1020
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",12,31,30,635
"TBP53 - Tough Math","2016-04-17 16:24:01",25,63,38,1144
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",18,35,32,622
"TBP51 - Such Wow","2016-04-10 17:09:46",19,51,29,614
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",18,62,31,785
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",12,49,37,804
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",15,29,28,653
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",26,40,33,561
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",28,61,25,828
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",13,52,29,656
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",11,40,34,596
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",16,32,22,638
"TBP42 - True Micropayments","2016-02-21 23:13:15",14,42,23,782
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",15,44,29,591
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",13,42,32,1215
"TBP39 - Running the Gamut","2016-02-07 20:14:46",11,36,22,852
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",11,23,16,598
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",16,32,20,588
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",9,22,10,533
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",16,20,18,1022
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",9,22,17,777
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",11,18,24,660
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",11,19,23,723
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",13,18,16,474
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",12,14,11,474
"TBP29 - Take the Power Back","2015-12-06 16:35:49",11,20,18,585
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",10,18,14,559
"TBP27 - London Calling","2015-11-22 16:30:21",14,19,10,560
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",10,19,12,511
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",12,11,8,435
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",15,21,17,623
"TBP23 - Itâ€™s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",16,21,11,386
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",16,17,15,324
"TBP21 - Call For Papers","2015-10-10 13:06:37",11,18,17,362
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",20,22,14,378
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",11,20,16,412
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",15,17,12,389
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",11,15,12,489
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",11,20,13,418
"TBP15 - Ants Marching","2015-08-30 19:31:14",14,21,12,386
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",15,27,12,538
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",14,19,13,440
"TBP12 - Boring Economics","2015-08-08 00:53:49",14,32,18,614
"TBP11 - The End of Money","2015-08-03 04:12:02",14,24,10,543
"TBP10 - Bottoms Up","2015-07-24 13:32:59",16,13,14,446
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",18,36,7,511
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",23,21,11,577
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",292,34,20,774
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",294,20,8,714
"TBP05 - The World's Strongest","2015-06-28 22:55:15",292,24,14,789
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",293,35,13,879
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",307,25,15,860
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",334,71,29,1004
"Episode #1 - Introduction","2015-06-01 00:34:44",352,107,95,1408