"market","total_downloads"
"Portland / Auburn",5
"New York",1772
"Binghamton",20
"Macon",1
"Philadelphia",484
"Detroit",202
"Boston MA / Manchester",497
"Savannah",23
"Pittsburgh",123
"Ft. Wayne",10
"Cleveland / Akron (Canton)",89
"Washington DC (Hagerstown)",963
"Baltimore",178
"Flint / Saginaw / Bay City",30
"Buffalo",55
"Cincinnati",76
"Charlotte",97
"Greensboro / High Point / Winston Salem",95
"Charleston",6
"Augusta",3
"Providence RI / New Bedford",30
"Columbus",13
"Burlington VT / Plattsburgh",30
"Atlanta",535
"Utica",12
"Indianapolis",73
"Miami / Ft. Lauderdale",339
"Louisville",128
"Tallahassee FL / Thomasville",10
"Tri-Cities TN",9
"Albany / Schenectady / Troy",39
"Hartford & New Haven",151
"Orlando / Daytona Beach / Melbourne",216
"Columbus",42
"Youngstown",11
"Bangor",1
"Rochester",36
"Tampa / St. Petersburg (Sarasota)",164
"Traverse City / Cadillac",5
"Lexington",4
"Dayton",91
"Springfield / Holyoke",3
"Norfolk / Portsmouth / Newport News",51
"Greenville / New Bern / Washington",5
"Columbia",42
"Toledo",10
"West Palm Beach / Ft. Pierce",177
"Wilmington",3
"Lansing",8
"Presque Isle",4
"Syracuse",33
"Richmond / Petersburg",105
"Knoxville",25
"Raleigh / Durham (Fayetteville)",100
"Jacksonville",201
"Grand Rapids / Kalamazoo / Battle Creek",50
"Harrisburg / Lancaster / Lebanon / York",31
"Greenville / Spartanburg SC / Asheville NC / Anderson",35
"Harrisonburg",24
"Florence / Myrtle Beach",17
"Ft. Myers / Naples",7
"Roanoke / Lynchburg",60
"Johnstown / Altoona",62
"Chattanooga",8
"Salisbury",45
"Wilkes Barre / Scranton",4
"Terre Haute",3
"Lafayette",1
"South Bend / Elkhart",10
"Gainesville",4
"Clarksburg / Weston",41
"Corpus Christi",25
"Chicago",695
"Joplin MO / Pittsburg",1
"Columbia / Jefferson City",6
"Topeka",5
"St. Louis",104
"Rockford",42
"Rochester MN / Mason City IA / Austin",9
"Shreveport",17
"Minneapolis / St. Paul",278
"Kansas City",173
"Milwaukee",99
"Houston",282
"Springfield",25
"New Orleans",121
"Dallas / Ft. Worth",434
"Sioux City",14
"Waco / Temple / Bryan",1610
"Victoria",2
"Birmingham",47
"Paducah KY / Cape Girardeau MO / Harrisburg / Mount Vernon",68
"Odessa / Midland",19
"Austin",969
"Harlingen / Weslaco / Brownsville / McAllen",1
"Cedar Rapids / Waterloo / Iowa City & Dubuque",148
"St. Joseph",3
"Jackson",5
"Memphis",36
"San Antonio",129
"Lafayette",2
"Champaign & Springfield / Decatur",3
"Evansville",9
"Oklahoma City",59
"Lubbock",39
"Omaha",47
"Panama City",3
"Sherman TX / Ada",6
"Green Bay / Appleton",27
"Nashville",63
"San Angelo",2
"Madison",121
"Ft. Smith / Fayetteville / Springdale / Rogers",19
"Tulsa",22
"Columbus / Tupelo / West Point",1
"Peoria / Bloomington",8
"Duluth MN / Superior",1
"Wichita / Hutchinson",27
"Des Moines / Ames",13
"Davenport IA / Rock Island / Moline",25
"Mobile AL / Pensacola (Ft. Walton Beach)",12
"Minot / Bismarck / Dickinson(Williston)",26
"Huntsville / Decatur (Florence)",8
"Beaumont / Port Arthur",2
"Little Rock / Pine Bluff",17
"Montgomery (Selma)",1
"La Crosse / Eau Claire",34
"Wausau / Rhinelander",3
"Tyler / Longview(Lufkin & Nacogdoches)",13
"Hattiesburg / Laurel",3
"Baton Rouge",9
"Jackson",15
"Lincoln & Hastings / Kearney",1
"Sioux Falls(Mitchell)",9
"Bowling Green",43
"Mankato",2
"North Platte",2
"Anchorage",9
"Honolulu",61
"Fairbanks",1
"Biloxi / Gulfport",2
"Denver",572
"Colorado Springs / Pueblo",7
"Phoenix",427
"Butte / Bozeman",74
"Great Falls",1
"Billings",31
"Boise",16
"Idaho Falls / Pocatello",4
"Cheyenne WY / Scottsbluff",1
"Twin Falls",9
"Missoula",27
"El Paso",4
"Salt Lake City",78
"Grand Junction / Montrose",6
"Tucson (Sierra Vista)",11
"Albuquerque / Santa Fe",32
"Bakersfield",18
"Eugene",23
"Eureka",2
"Los Angeles",1811
"Palm Springs",20
"San Francisco / Oakland / San Jose",2336
"Yakima / Pasco / Richland / Kennewick",192
"Reno",15
"Medford / Klamath Falls",4
"Seattle / Tacoma",621
"Portland",157
"Bend",48
"San Diego",201
"Monterey / Salinas",171
"Las Vegas",327
"Santa Barbara / Santa Maria / San Luis Obispo",40
"Sacramento / Stockton / Modesto",173
"Fresno / Visalia",11
"Chico / Redding",8
"Spokane",82