"user_agent","total_downloads"
"Acast",1
"AntennaPod",12
"AppleCoreMedia",674
"Castro",9
"Chrome",626
"Dalvik",21
"Downcast",25
"EdgeAccel",2
"ExoPlayerDemo",3
"Firefox",127
"Googlebot-Video",23
"gPodder",2
"GStreamer souphttpsrc libsoup",8
"gvfs",4
"HTC Streaming Player htc",4
"Instacast",4
"iTunes",132
"itunesstored",1
"LG-H",1
"Mozilla",509
"MSIE",4
"MT",1
"NSPlayer",10
"okhttp",344
"Overcast",508
"Player",9
"Player FM",12
"Pocket Casts",151
"Podbean",10
"Podcast Addict - Dalvik",30
"PodcastAddict",180
"Podkicker",2
"Podkicker Pro",3
"RSSRadio",11
"Safari",126
"Samsung GT-I",9
"Samsung SAMSUNG-SM-N",4
"Samsung SGH-I",1
"Samsung SM-G",38
"Samsung SM-N",7
"Samsung SM-T",2
"stagefright",57
"Stitcher",24
"Stitcher/Android",56
"Stitcher/iOS",29
"StitcherBot",7
"Twitterbot",6
"Wget",6