"country_name","total_downloads"
"",343
"Anonymous Proxy",1035
"United Arab Emirates",109
"Antigua and Barbuda",3
"Asia/Pacific Region",3
"Argentina",132
"Austria",173
"Australia",1425
"Aruba",2
"Azerbaijan",53
"Bosnia and Herzegovina",8
"Barbados",77
"Bangladesh",1
"Belgium",143
"Bulgaria",69
"Bahrain",10
"Bolivia",3
"Bonaire, Saint Eustatius and Saba",1
"Brazil",702
"Bhutan",1
"Belarus",2
"Canada",1792
"Switzerland",407
"Chile",240
"China",669
"Colombia",58
"Costa Rica",71
"Cuba",2
"Curaï¿½ao",3
"Cyprus",1
"Czech Republic",78
"Germany",1405
"Denmark",88
"Dominican Republic",22
"Algeria",7
"Ecuador",4
"Estonia",61
"Egypt",3
"Spain",404
"Europe",1
"Finland",169
"France",450
"United Kingdom",2983
"Georgia",17
"Guernsey",2
"Gibraltar",6
"Greece",56
"Guatemala",12
"Guam",4
"Hong Kong",87
"Honduras",1
"Croatia",29
"Hungary",10
"Indonesia",43
"Ireland",244
"Israel",136
"Isle of Man",14
"India",682
"Iran, Islamic Republic of",9
"Iceland",12
"Italy",224
"Jamaica",2
"Japan",419
"Kenya",85
"Kyrgyzstan",12
"Cambodia",9
"Korea, Republic of",170
"Kuwait",1
"Kazakhstan",13
"Lao People's Democratic Republic",1
"Liechtenstein",1
"Liberia",2
"Lithuania",18
"Luxembourg",12
"Latvia",69
"Morocco",12
"Monaco",47
"Moldova, Republic of",4
"Macedonia",2
"Myanmar",1
"Macau",2
"Martinique",1
"Malta",4
"Mauritius",2
"Mexico",216
"Malaysia",43
"Nigeria",122
"Nicaragua",32
"Netherlands",629
"Norway",279
"New Zealand",212
"Oman",1
"Panama",2
"Peru",11
"Philippines",65
"Pakistan",8
"Poland",112
"Puerto Rico",33
"Portugal",32
"Qatar",4
"Reunion",1
"Romania",89
"Serbia",48
"Russian Federation",59
"Rwanda",11
"Saudi Arabia",70
"Seychelles",1
"Sweden",1035
"Singapore",256
"Slovenia",259
"Slovakia",35
"Suriname",1
"El Salvador",5
"Sint Maarten (Dutch part)",1
"Thailand",87
"Tunisia",1
"Turkey",39
"Trinidad and Tobago",13
"Taiwan",30
"Tanzania, United Republic of",165
"Ukraine",18
"Uganda",1
"United States",24184
"Venezuela",21
"Virgin Islands, British",3
"Vietnam",66
"South Africa",184
"Zimbabwe",4