"item_title","release_date","downloads__may","downloads__april","downloads__march","downloads__total"
"TBP130 - Consensus Recap and Sphre","2017-05-28 01:51:13",433,0,0,433
"BlockChannel Episode 22: Tackling the Real Estate Dinosaur, with REX","2017-05-27 15:11:51",1059,0,0,1059
"Announcements with Dr. Petty: Mona.co","2017-05-27 01:04:37",1144,0,0,1144
"BlockChannel Episode 21: Building Unstoppable Organizations, with Aragon","2017-05-22 17:08:49",2559,0,0,2559
"TBP129 - The Inherent Risks","2017-05-21 01:54:10",2481,0,0,2481
"TBP128 - Family","2017-05-14 02:41:39",2809,0,0,2809
"TBP127 - Marketing Discipline","2017-05-07 02:20:48",3456,0,0,3456
"Episode #9: On-Ramping with Dee","2017-05-05 13:12:45",1944,0,0,1944
"TBP126 - Litecoin's SegWit Activation","2017-05-01 02:38:43",5870,0,0,5870
"BlockChannel Episode 20: Building Across the Globe, with ConsenSys","2017-04-28 02:52:57",1267,1591,0,2858
"TBP125 - False Narratives and Short Memories","2017-04-22 23:39:12",473,1751,0,2224
"Episode #8: On-Ramping with Dee","2017-04-21 17:13:35",297,1110,0,1407
"BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","2017-04-20 20:08:46",413,1317,0,1730
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",481,1851,0,2332
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",192,1371,0,1563
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",195,1391,0,1586
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",163,1884,0,2047
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",115,1428,0,1543
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",250,2311,0,2561
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",228,1983,0,2211
"TBP120 - The Token Protocol","2017-03-25 20:31:45",178,856,1994,3028
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",166,360,1751,2277
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",108,327,1439,1874
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",140,262,1360,1762
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",210,281,2096,2587
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",76,181,1149,1406
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",75,206,1440,1721
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",103,312,1599,2014
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",60,229,1000,2279
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",93,180,694,2203
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",58,139,364,1581
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",45,130,256,1209
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",81,170,354,1873
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",37,110,184,1292
"TBP114 - Life After Trezor","2017-02-12 06:32:10",73,176,303,2441
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",36,77,195,1508
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",34,130,249,1997
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",83,232,329,1887
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",99,166,309,1606
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",51,51,159,1479
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",79,180,261,3050
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",31,34,125,1403
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",85,203,242,1828
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",41,79,112,2031
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",35,78,86,2268
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",23,21,84,1339
"TBP109 - The Human Influence","2017-01-08 03:14:21",27,73,62,1848
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",38,73,76,1191
"TBP108 - Ether Camp","2017-01-04 15:48:27",30,68,79,1357
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",74,181,192,1572
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",48,39,83,1256
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",45,81,57,1451
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",27,19,56,1893
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",81,222,205,1704
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",61,25,64,1805
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",59,154,173,2289
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",18,18,27,1519
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",62,156,179,1809
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",54,159,205,2017
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",22,59,56,1288
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",82,205,169,2704
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",60,60,86,2092
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",26,24,23,1107
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",16,64,14,1090
"TBP97 - Hype or Hope","2016-11-06 00:57:36",73,189,164,2345
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",32,33,71,1179
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",18,58,18,1427
"TBP95 - The JOBS Act","2016-10-27 00:09:26",21,58,16,1442
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",19,63,26,2234
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",98,61,24,3549
"TBP92 - Myceliated","2016-10-09 04:31:18",19,55,12,1648
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",14,66,12,1428
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",52,142,152,2137
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",22,57,9,1266
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",18,8,42,1253
"TBP87 - The World is YOURS","2016-09-18 15:16:48",18,11,11,1627
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",19,56,13,1313
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",21,8,9,1158
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",16,7,11,1314
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",36,9,17,1756
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",23,60,36,1640
"TBP81 - Redefining Trust","2016-08-21 00:51:47",18,8,10,1481
"TBP80 - A Means to an End","2016-08-13 21:30:49",46,7,13,1361
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",23,12,18,2364
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",24,7,12,1688
"TBP77 - Collective Governance","2016-08-01 02:13:02",58,137,147,2595
"TBP76 - Skynet","2016-07-31 13:56:37",54,196,147,2761
"TBP75 - Attention Economy","2016-07-23 14:57:17",18,16,12,1713
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",20,14,10,1215
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",30,9,14,1506
"TBP72 - The Broader Economy","2016-07-11 13:33:58",49,58,38,3400
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",60,12,77,1836
"TBP70 - Whitehat","2016-07-03 16:51:42",20,8,23,1458
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",18,18,38,1205
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",42,13,24,2028
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",45,8,24,1526
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",23,7,23,1293
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",19,7,20,1278
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",28,10,25,1323
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",22,7,18,1195
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",20,5,14,1166
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",32,6,17,925
"TBP60 - Release the Kraken","2016-05-23 03:32:09",169,7,52,2271
"TBP59 - Incredible India","2016-05-16 15:40:00",28,6,14,1040
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",98,14,12,1823
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",38,9,12,2041
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",29,11,11,915
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",51,17,57,1220
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",7,12,5,718
"TBP53 - Tough Math","2016-04-17 16:24:01",6,14,42,1272
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",1,4,8,689
"TBP51 - Such Wow","2016-04-10 17:09:46",3,5,8,686
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",2,11,6,860
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",2,5,6,931
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",7,2,7,725
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",27,4,6,649
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",5,17,15,920
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",5,18,8,756
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",4,7,7,679
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",27,2,28,777
"TBP42 - True Micropayments","2016-02-21 23:13:15",4,0,15,869
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",2,0,21,677
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",8,3,10,1319
"TBP39 - Running the Gamut","2016-02-07 20:14:46",2,0,5,914
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",5,0,8,675
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",8,2,32,722
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",3,0,1,581
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",8,1,3,1098
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",5,2,2,839
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",3,2,1,748
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",3,0,0,824
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",1,3,2,535
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",28,2,0,562
"TBP29 - Take the Power Back","2015-12-06 16:35:49",2,1,2,716
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",5,1,4,651
"TBP27 - London Calling","2015-11-22 16:30:21",25,1,2,641
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",4,2,1,567
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",2,5,0,499
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",8,7,4,750
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",3,3,2,462
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",3,0,1,400
"TBP21 - Call For Papers","2015-10-10 13:06:37",4,2,0,452
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",3,0,0,471
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",6,0,1,493
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",2,0,0,463
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",6,0,0,555
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",2,0,1,511
"TBP15 - Ants Marching","2015-08-30 19:31:14",5,0,2,457
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",4,1,7,636
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",7,0,0,482
"TBP12 - Boring Economics","2015-08-08 00:53:49",7,1,0,705
"TBP11 - The End of Money","2015-08-03 04:12:02",6,0,0,661
"TBP10 - Bottoms Up","2015-07-24 13:32:59",2,0,0,513
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",6,0,2,586
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",4,0,1,660
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",6,0,1,2503
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",7,0,1,2267
"TBP05 - The World's Strongest","2015-06-28 22:55:15",4,1,7,2336
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",6,1,0,2452
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",10,0,2,2363
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",19,5,3,2460
"Episode #1 - Introduction","2015-06-01 00:34:44",39,19,14,2889